,time,position,speed,acceleration
0,0.0041666666666666,0.2966666666666667,,
5,0.0249999999999999,0.3256666666666666,1.3919999999999981,
10,0.0458333333333333,0.352,1.2639999999999978,-6.143999999999996
15,0.0666666666666666,0.3746666666666666,1.0879999999999994,-8.447999999999938
20,0.0875,0.3936666666666666,0.9119999999999979,-8.448000000000045
25,0.1083333333333333,0.4093333333333333,0.7520000000000037,-7.679999999999736
30,0.1291666666666666,0.421,0.5600000000000005,-9.216000000000166
