,time,position,speed,acceleration
0,0.0041666666666666,0.1493333333333333,,
3,0.0166666666666666,0.16,0.853333333333337,
6,0.0291666666666666,0.176,1.279999999999999,34.13333333333295
9,0.0416666666666666,0.195,1.5200000000000014,19.200000000000195
12,0.0541666666666666,0.2156666666666666,1.653333333333327,10.666666666666062
15,0.0666666666666666,0.2366666666666666,1.680000000000002,2.133333333333987
18,0.0791666666666666,0.2573333333333333,1.653333333333336,-2.1333333333332765
21,0.0916666666666666,0.278,1.6533333333333362,1.776356839400249e-14
