time,position
0.004166666666666667,0.075
0.008333333333333333,0.075
0.0125,0.07533333333333334
0.016666666666666666,0.075
0.020833333333333332,0.075
0.024999999999999998,0.075
0.029166666666666664,0.07566666666666666
0.03333333333333333,0.07633333333333334
0.0375,0.07633333333333334
0.041666666666666664,0.077
0.04583333333333333,0.077
0.049999999999999996,0.07933333333333334
0.05416666666666666,0.07833333333333334
0.05833333333333333,0.07866666666666666
0.06249999999999999,0.07933333333333334
0.06666666666666667,0.083
0.07083333333333333,0.083
0.075,0.08633333333333333
0.07916666666666666,0.08633333333333333
0.08333333333333333,0.09466666666666666
0.0875,0.09566666666666666
0.09166666666666666,0.10233333333333333
0.09583333333333333,0.10633333333333334
0.09999999999999999,0.10833333333333334
0.10416666666666666,0.11566666666666667
0.10833333333333332,0.11566666666666667
0.11249999999999999,0.12233333333333334
0.11666666666666665,0.133
0.12083333333333332,0.135
0.12499999999999999,0.13733333333333334
0.12916666666666665,0.14566666666666667
0.13333333333333333,0.15133333333333332
0.1375,0.15366666666666667
0.1416666666666667,0.164
0.14583333333333337,0.167
0.15000000000000005,0.16966666666666666
