time,position
0.004166666666666667,0.115
0.008333333333333333,0.115
0.0125,0.11666666666666667
0.016666666666666666,0.11833333333333333
0.020833333333333332,0.11933333333333333
0.024999999999999998,0.11933333333333333
0.029166666666666664,0.12566666666666668
0.03333333333333333,0.12666666666666668
0.0375,0.12666666666666668
0.041666666666666664,0.13566666666666666
0.04583333333333333,0.138
0.049999999999999996,0.14433333333333334
0.05416666666666666,0.149
0.05833333333333333,0.151
0.06249999999999999,0.151
0.06666666666666667,0.16433333333333333
0.07083333333333333,0.167
0.075,0.176
0.07916666666666666,0.182
0.08333333333333333,0.185
0.0875,0.19466666666666665
0.09166666666666666,0.20033333333333334
0.09583333333333333,0.20366666666666666
0.09999999999999999,0.213
0.10416666666666666,0.21933333333333332
