,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,position,speed,acceleration,elastic_energy,kinetic_energy
2,2,2,2,6,0.0291666666666666,0.1256666666666666,0.5866666666666631,25.59999999999993,0.6571047321214704,0.048873244444443846
3,3,3,3,9,0.0416666666666666,0.1356666666666666,0.8000000000000007,17.066666666667007,0.5438377058803994,0.09088000000000016
4,4,4,4,12,0.0541666666666666,0.149,1.0666666666666715,21.33333333333367,0.411314746420062,0.1615644444444459
5,5,5,5,15,0.0666666666666666,0.1643333333333333,1.226666666666665,12.799999999999482,0.2844800313344813,0.21366897777777719
6,6,6,6,18,0.0791666666666666,0.182,1.4133333333333356,14.933333333333646,0.1709987066409978,0.28364657777777863
7,7,7,7,21,0.0916666666666666,0.2003333333333333,1.4666666666666637,4.266666666666247,0.0878815287709112,0.3054577777777765
8,8,8,8,24,0.1041666666666666,0.2193333333333333,1.5199999999999996,4.266666666666873,0.034874692336,0.3280767999999998
