,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,position,speed,acceleration,elastic_energy,kinetic_energy
0,0,0,0,0.0041666666666666,0.075,,,0.4980587965034185,
1,1,1,5,0.0249999999999999,0.075,0.0,,0.4980587965034185,0.0
2,2,2,10,0.0458333333333333,0.077,0.0959999999999997,4.607999999999974,0.4853889543297466,0.0013086719999999916
3,3,3,15,0.0666666666666666,0.083,0.2880000000000008,9.216000000000069,0.4484313000826022,0.011778048000000065
4,4,4,20,0.0875,0.0956666666666666,0.6079999999999944,15.359999999999646,0.3755739739651147,0.052492287999999034
5,5,5,25,0.1083333333333333,0.1156666666666666,0.9600000000000016,16.89600000000037,0.2746995763887198,0.13086720000000043
6,6,6,30,0.1291666666666666,0.1456666666666666,1.4400000000000028,23.04000000000009,0.1553482190724907,0.29445120000000113
