time,position
0.004166666666666667,0.2966666666666667
0.008333333333333333,0.303
0.0125,0.30866666666666664
0.016666666666666666,0.31466666666666665
0.020833333333333332,0.32033333333333336
0.024999999999999998,0.32566666666666666
0.029166666666666664,0.334
0.03333333333333333,0.33666666666666667
0.0375,0.342
0.041666666666666664,0.347
0.04583333333333333,0.352
0.049999999999999996,0.3566666666666667
0.05416666666666666,0.3636666666666667
0.05833333333333333,0.366
0.06249999999999999,0.366
0.06666666666666667,0.37466666666666665
0.07083333333333333,0.37866666666666665
0.075,0.38266666666666665
0.07916666666666666,0.38666666666666666
0.08333333333333333,0.3903333333333333
0.0875,0.39366666666666666
0.09166666666666666,0.399
0.09583333333333333,0.4003333333333333
0.09999999999999999,0.4036666666666667
0.10416666666666666,0.4066666666666667
0.10833333333333332,0.4093333333333333
0.11249999999999999,0.412
0.11666666666666665,0.412
0.12083333333333332,0.4166666666666667
0.12499999999999999,0.4166666666666667
0.12916666666666665,0.421
0.13333333333333333,0.423
0.1375,0.4246666666666667
0.1416666666666667,0.426
